Job Zone,Code,Occupation,Data-level,url,Median Wage,Projected Growth,Projected Job Openings
4,27-3041.00,Editors,Y,https://www.onetonline.org/link/summary/27-3041.00,"$36.18 hourly, $75,260 annual",Slower than average (1% to 2%),"9,800"
n/a,11-9039.00,"Education Administrators, All Other",,https://www.onetonline.org/link/summary/11-9039.00,"$42.81 hourly, $89,040 annual",Average (3% to 4%),"4,100"
5,11-9032.00,"Education Administrators, Kindergarten through Secondary",Y,https://www.onetonline.org/link/summary/11-9032.00,"$104,070 annual",Decline (-1% or lower),"20,800"
5,11-9033.00,"Education Administrators, Postsecondary",Y,https://www.onetonline.org/link/summary/11-9033.00,"$49.98 hourly, $103,960 annual",Slower than average (1% to 2%),"15,100"
4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Y,https://www.onetonline.org/link/summary/11-9031.00,"$27.05 hourly, $56,270 annual",Decline (-1% or lower),"5,500"
5,25-1081.00,"Education Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1081.00,"$72,090 annual",Slower than average (1% to 2%),"5,600"
n/a,25-9099.00,"Educational Instruction and Library Workers, All Other",,https://www.onetonline.org/link/summary/25-9099.00,"$23.27 hourly, $48,400 annual",Slower than average (1% to 2%),"12,500"
5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",Y,https://www.onetonline.org/link/summary/21-1012.00,"$31.32 hourly, $65,140 annual",Average (3% to 4%),"31,000"
3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers",Y,https://www.onetonline.org/link/summary/49-2092.00,"$25.96 hourly, $53,990 annual",Average (3% to 4%),"1,700"
3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Y,https://www.onetonline.org/link/summary/17-3023.00,"$37.11 hourly, $77,180 annual",Slower than average (1% to 2%),"8,400"
2,51-2022.00,Electrical and Electronic Equipment Assemblers,Y,https://www.onetonline.org/link/summary/51-2022.00,"$21.17 hourly, $44,040 annual",Faster than average (5% to 6%),"29,600"
3,17-3012.00,Electrical and Electronics Drafters,Y,https://www.onetonline.org/link/summary/17-3012.00,"$35.44 hourly, $73,720 annual",Decline (-1% or lower),"1,700"
3,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Y,https://www.onetonline.org/link/summary/49-2093.00,"$39.77 hourly, $82,730 annual",Faster than average (5% to 6%),600
3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Y,https://www.onetonline.org/link/summary/49-2094.00,"$34.28 hourly, $71,300 annual",Decline (-1% or lower),"4,700"
