Soc Code,URL,Simple Title
11-9121.01,https://altpath.org/discover/jmu62sf3cwvksdaxpcm164z1,Clinical Research Coordinator
41-4011.07,https://altpath.org/discover/o3t4561nytrwpkwxb8kdki6y,Solar Sales Representative
27-1013.00,https://altpath.org/discover/tr9699uo0nhigssy36lyzbo3,Fine Artist
29-2033.00,https://altpath.org/discover/umqmfvq0ybz7gb6eluf73sp3,Nuclear Medicine Technologist
29-1292.00,https://altpath.org/discover/haka9iwvndsuhjqf4rneracv,Dental Hygienist
33-3051.00,https://altpath.org/discover/nq7vw3jorqm2yr0ruhw9elhq,Police Patrol Officer
29-1151.00,https://altpath.org/discover/jj5n9jm895kvyop4g808yuxo,Nurse Anesthetist
31-2011.00,https://altpath.org/discover/bbujyntdllcir6avu8nh1ivb,Occupational Therapy Assistant
33-2022.00,https://altpath.org/discover/undxr71fj7tr9ot75wqd6umu,Forest Fire Inspector
33-3051.04,https://altpath.org/discover/wm13fsbxymfrcuk0u08nwbwj,Border Protection Officer
29-2034.00,https://altpath.org/discover/ilcsh4rlrpb0h2u4mogbn7kt,Radiologic Technologist
43-2011.00,https://altpath.org/discover/bp67ox3k2i6ui2avdvl0qnfe,Switchboard Operator
21-1012.00,https://altpath.org/discover/f5adlo7wdolvad92n74nl74g,School Guidance Counselor
29-1141.00,https://altpath.org/discover/hs3syq7tx2fl1i1crxxjvf1j,Registered Nurse
29-1223.00,https://altpath.org/discover/dm3jn2id4f6jl0al5kq148oj,Psychiatrist
47-2011.00,https://altpath.org/discover/cnnlbn1s283u4lsfw0epu2ur,Boilermaker
25-4011.00,https://altpath.org/discover/tuo7jynu5xdnjcogno7b6yk3,Archivist
51-4071.00,https://altpath.org/discover/qmb2e8671b6mzz23jl33qo14,Coremaker
15-1243.00,https://altpath.org/discover/md4y6x4o5id7gzjqv1v9w3qf,Database Architect
27-3092.00,https://altpath.org/discover/kle1bzu59cz3dq8zcmieotlo,Court Reporter
29-1222.00,https://altpath.org/discover/b2l6zvk3nzxtagx3ea6pwbmo,Pathologist
51-8012.00,https://altpath.org/discover/vagewgwr4xamjnmf0bzaphzd,Power Distributor
29-1212.00,https://altpath.org/discover/rv22nded8egnv9gunfha2jis,Cardiologist
29-1249.00,https://altpath.org/discover/kpglsrfiuz068olty8c34f8o,Surgeon
29-1242.00,https://altpath.org/discover/wuhyb1acw1ktz14yyyyb26n7,Orthopedic Surgeon
29-1023.00,https://altpath.org/discover/dvxubf1cfoc2meugpcf756cz,Orthodontist
51-9162.00,https://altpath.org/discover/s863jbxttr84qcz1xf7avxc9,Computer-controlled Tool Programmer
